"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.304519734E0,6.202024221E-2,-6.153202057E-2,-5.674566031E-1,5.741425749E-1
1.312484822E0,7.764425874E-2,-5.105590820E-2,-5.366075039E-1,5.445942985E-1
1.320510945E0,6.921923161E-2,-2.627849579E-2,-5.304483771E-1,5.355906479E-1
1.328506551E0,8.216962218E-2,-2.304840088E-2,-5.122743249E-1,5.193342465E-1
1.336502156E0,6.852290034E-2,1.376342773E-2,-4.571471512E-1,4.624590119E-1
1.344528279E0,8.578458428E-2,1.948928833E-2,-4.283286333E-1,4.372690766E-1
1.352493367E0,8.136719465E-2,4.927253723E-2,-3.789714575E-1,3.907272308E-1
1.360488973E0,8.375293016E-2,7.678222656E-2,-3.183873296E-1,3.380540715E-1
1.368454060E0,1.123687923E-1,9.006214142E-2,-2.828968763E-1,3.174406676E-1
1.376419148E0,6.945362687E-2,1.211118698E-1,-3.761333227E-2,1.445913347E-1
1.384445271E0,5.518382788E-2,1.511030197E-1,8.686938882E-2,1.828214105E-1
1.392410359E0,4.395443201E-2,1.679906845E-1,1.747725308E-1,2.463702492E-1
1.400405965E0,2.632102370E-2,1.934165955E-1,1.681019366E-1,2.576063601E-1
1.408401570E0,1.951295137E-2,1.945505142E-1,1.527786851E-1,2.481370276E-1
1.416397176E0,2.983647585E-2,2.195787430E-1,1.182105839E-1,2.511548961E-1
1.424392781E0,3.074964881E-2,2.422590256E-1,9.746968746E-2,2.629359548E-1
1.432357869E0,2.224677801E-2,2.530469894E-1,7.676348090E-2,2.653682912E-1
1.440383992E0,1.392084360E-2,2.615404129E-1,6.153118610E-2,2.690413803E-1
1.448379598E0,8.335292339E-3,2.773437500E-1,4.780548811E-2,2.815570945E-1
1.456375203E0,6.067156792E-4,2.908544540E-1,3.998976946E-2,2.935913200E-1
1.464340291E0,1.197978854E-2,3.044662476E-1,7.432073355E-3,3.047924654E-1
1.472335896E0,2.649784088E-2,3.131303787E-1,-6.903421879E-2,3.217428989E-1
1.480300984E0,-2.829816937E-2,3.386812210E-1,-1.510060430E-1,3.718986164E-1
1.488296590E0,-3.512069583E-2,3.475942612E-1,-2.574917674E-1,4.340014331E-1
1.496292195E0,-5.614596605E-2,3.614044189E-1,-3.596450984E-1,5.129426092E-1
1.504318318E0,-5.084741116E-2,3.681116104E-1,-4.628189802E-1,5.935427747E-1
1.512283406E0,-4.309418797E-2,3.725023270E-1,-5.402283669E-1,6.576182639E-1
1.520248494E0,-5.692455173E-2,3.769369125E-1,-5.982351303E-1,7.093709268E-1
1.528213582E0,-7.302489877E-2,3.766260147E-1,-6.635640860E-1,7.664835856E-1
1.536209187E0,-8.177623153E-2,3.667821884E-1,-7.194138169E-1,8.116481786E-1
1.544174275E0,-7.141250372E-2,3.617591858E-1,-7.617737055E-1,8.463265520E-1
1.552169881E0,-9.687149525E-2,3.567781448E-1,-7.811834216E-1,8.642466485E-1
1.560134969E0,-9.592354298E-2,3.853635788E-1,-8.400217891E-1,9.291625370E-1
1.568100057E0,-9.746348858E-2,3.924503326E-1,-8.737905622E-1,9.628220717E-1
1.576065144E0,-1.204537451E-1,3.924226761E-1,-8.996554613E-1,9.888804834E-1
1.584091268E0,-1.242746115E-1,3.876810074E-1,-9.152193069E-1,1.001682146E0
1.592056355E0,-1.185919046E-1,4.021816254E-1,-9.133320451E-1,1.004982350E0
1.600051961E0,-1.295405924E-1,4.144020081E-1,-9.204326868E-1,1.017696477E0
1.608047566E0,-1.372987926E-1,4.293489456E-1,-9.154545665E-1,1.020415866E0
1.616073689E0,-1.354476213E-1,4.158411026E-1,-9.256318808E-1,1.023750096E0
1.624069295E0,-1.383504868E-1,4.146261215E-1,-9.307208657E-1,1.028249487E0
1.632064900E0,-1.483370364E-1,4.328813553E-1,-9.223022461E-1,1.029578349E0
1.640091023E0,-1.184831858E-1,4.486131668E-1,-6.738743782E-1,8.181679023E-1
1.648025594E0,-1.222009063E-1,4.578323364E-1,-4.730041027E-1,6.695344584E-1
1.656021199E0,-7.265210152E-2,4.586400986E-1,-3.287698627E-1,5.689628199E-1
1.664016805E0,-7.190656662E-2,4.860477448E-1,-2.027163804E-1,5.315137772E-1
1.671981893E0,-6.381139159E-2,4.797887802E-1,-8.337417245E-2,4.911419550E-1
1.680008016E0,-5.970016122E-2,4.924192429E-1,-9.294003248E-3,4.961120826E-1
1.688003621E0,-4.375305772E-2,4.949541092E-1,3.350666165E-2,4.980126471E-1
1.695999226E0,-5.549684167E-2,4.780426025E-1,2.830338478E-2,4.820847549E-1
1.703964314E0,-6.511002779E-2,4.825935364E-1,1.550565660E-2,4.872127487E-1
1.711959920E0,-5.557343364E-2,4.656133652E-1,-2.933207154E-2,4.698346334E-1
1.719925008E0,-7.693508267E-2,4.989566803E-1,-4.782298207E-2,5.071132155E-1
1.727890096E0,-8.102715015E-2,4.844951630E-1,-1.001633406E-1,5.013318829E-1
1.735855184E0,-7.719591260E-2,4.696741104E-1,-1.462298483E-1,4.979318703E-1
1.743881307E0,-7.781025767E-2,4.694118500E-1,-2.166079134E-1,5.228010226E-1
1.751846394E0,-7.554537058E-2,4.525690079E-1,-2.555739582E-1,5.252083948E-1
1.759842000E0,-8.501943946E-2,4.478330612E-1,-2.969096899E-1,5.440019483E-1
1.767807088E0,-8.454421163E-2,4.360361099E-1,-3.195773959E-1,5.471790611E-1
1.775802693E0,-8.370485902E-2,4.075727463E-1,-3.706302941E-1,5.572152742E-1
1.783828816E0,-9.685587883E-2,4.031352997E-1,-4.511498213E-1,6.127277473E-1
1.791793904E0,-1.098036170E-1,3.652381897E-1,-5.130825639E-1,6.393039081E-1
1.799789510E0,-1.105386317E-1,3.608999252E-1,-5.847032070E-1,6.959492693E-1
1.807754598E0,-1.038490832E-1,3.542127609E-1,-6.409169436E-1,7.396119527E-1
1.815750203E0,-1.041511297E-1,3.427629471E-1,-7.146687508E-1,7.994281200E-1
1.823745809E0,-1.092921495E-1,3.433122635E-1,-7.805720568E-1,8.597097301E-1
